symbol,timestamp,close,future_close,forward_return,true_label,pred_signal,hybrid_score,technical_score,sentiment_score,volatility_index,confidence,reason
ETHUSDT,2025-11-06T15:00:00+00:00,3300.0,3297.52,-0.000751515151515157,HOLD,HOLD,-0.0888,-0.2961,0.0,0.0,0.0888,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T16:00:00+00:00,3276.59,3309.2,0.00995242004645063,HOLD,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T17:00:00+00:00,3329.65,3385.63,0.016812577898577933,HOLD,HOLD,-0.1068,-0.3559,0.0,0.0,0.1068,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T18:00:00+00:00,3329.43,3426.17,0.029056024604812308,BUY,HOLD,-0.0798,-0.266,0.0,0.0,0.0798,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T19:00:00+00:00,3325.8,3443.6,0.03542004931144378,BUY,HOLD,-0.1303,-0.4344,0.0,0.0,0.1303,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T20:00:00+00:00,3306.41,3465.25,0.04804001923536408,BUY,HOLD,-0.1154,-0.3846,0.0,0.0,0.1154,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T21:00:00+00:00,3326.04,3468.83,0.042930932881143934,BUY,HOLD,-0.1474,-0.4912,0.0,0.0,0.1474,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T22:00:00+00:00,3319.61,3445.89,0.03804061320456311,BUY,HOLD,-0.1343,-0.4476,0.0,0.0,0.1343,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T23:00:00+00:00,3315.14,3436.05,0.03647206452819498,BUY,HOLD,-0.1324,-0.4414,0.0,0.0,0.1324,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-07T00:00:00+00:00,3324.97,3424.55,0.029949142398277395,BUY,HOLD,-0.1315,-0.4383,0.0,0.0,0.1315,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-07T01:00:00+00:00,3324.79,3437.27,0.03383070810487279,BUY,HOLD,-0.1233,-0.411,0.0,0.0,0.1233,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-07T02:00:00+00:00,3346.66,3440.9,0.02815941864426032,BUY,HOLD,-0.0264,-0.088,0.0,0.0,0.0264,Neutral sentiment and technical indicators showing balanced market conditions
